VendorID,passenger_count,trip_distance,RatecodeID,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tolls_amount,improvement_surcharge,congestion_surcharge,airport_fee,pickup_hour,pickup_dayofweek,pickup_month,is_weekend,trip_duration_min,avg_speed_mph
2,1.0,3.56,1.0,68.0,237.0,1.0,19.1,0.0,0.5,0.0,1.0,2.5,0.0,13,0,1,0,17.483333333333334,12.217349857006672
2,1.0,0.85,1.0,246.0,48.0,2.0,7.9,2.5,0.5,0.0,1.0,2.5,0.0,19,2,1,0,7.233333333333333,7.050691244239631
2,1.0,0.66,1.0,143.0,142.0,1.0,6.5,0.0,0.5,0.0,1.0,2.5,0.0,9,0,1,0,4.7,8.425531914893616
2,1.0,0.6,1.0,237.0,163.0,2.0,5.8,0.0,0.5,0.0,1.0,2.5,0.0,14,1,1,0,4.283333333333333,8.40466926070039
2,1.0,17.64,2.0,132.0,186.0,1.0,70.0,0.0,0.5,6.55,1.0,2.5,1.25,23,0,1,0,29.55,35.81725888324873
2,1.0,1.4,1.0,231.0,144.0,1.0,9.3,1.0,0.5,0.0,1.0,2.5,0.0,23,6,1,1,6.183333333333334,13.584905660377357
2,1.0,1.11,1.0,236.0,237.0,2.0,10.0,2.5,0.5,0.0,1.0,2.5,0.0,16,2,1,0,8.433333333333334,7.897233201581027
1,1.0,1.9,1.0,163.0,239.0,1.0,14.2,5.0,0.5,0.0,1.0,2.5,0.0,18,1,1,0,13.15,8.669201520912546
1,1.0,4.6,1.0,164.0,13.0,1.0,24.0,2.5,0.5,0.0,1.0,2.5,0.0,13,6,1,1,18.9,14.603174603174603
2,1.0,1.7,1.0,236.0,141.0,1.0,13.5,2.5,0.5,0.0,1.0,2.5,0.0,16,2,1,0,13.35,7.640449438202247
2,1.0,0.57,1.0,100.0,230.0,1.0,5.1,1.0,0.5,0.0,1.0,2.5,0.0,5,0,1,0,2.1333333333333333,16.03125
2,2.0,2.17,1.0,249.0,170.0,1.0,14.2,1.0,0.5,0.0,1.0,2.5,0.0,22,6,1,1,13.2,9.863636363636363
2,1.0,0.92,1.0,236.0,237.0,1.0,8.6,0.0,0.5,0.0,1.0,2.5,0.0,13,4,1,0,6.766666666666667,8.157635467980295
2,1.0,11.05,1.0,264.0,16.0,2.0,45.0,1.0,0.5,0.0,1.0,2.5,1.25,21,4,1,0,25.8,25.697674418604652
2,1.0,18.5,2.0,132.0,41.0,1.0,70.0,0.0,0.5,6.55,1.0,0.0,1.25,14,5,1,1,36.38333333333333,30.508474576271187
2,1.0,9.42,1.0,13.0,236.0,1.0,41.5,0.0,0.5,0.0,1.0,2.5,0.0,11,4,1,0,28.6,19.76223776223776
2,1.0,2.06,1.0,186.0,125.0,1.0,10.0,1.0,0.5,0.0,1.0,2.5,0.0,5,6,1,1,6.416666666666667,19.26233766233766
2,2.0,1.64,1.0,263.0,229.0,1.0,11.4,0.0,0.5,0.0,1.0,2.5,0.0,17,0,1,0,9.65,10.196891191709843
2,3.0,1.97,1.0,143.0,143.0,1.0,13.5,0.0,0.5,0.0,1.0,2.5,0.0,8,5,1,1,12.033333333333333,9.822714681440443
2,1.0,4.6,1.0,236.0,249.0,1.0,19.0,1.0,0.5,0.0,0.3,2.5,0.0,17,0,1,0,24.683333333333334,11.181634031060092
1,1.0,1.3,1.0,231.0,249.0,1.0,8.6,5.0,0.5,0.0,1.0,2.5,0.0,16,3,1,0,7.583333333333333,10.285714285714286
2,1.0,0.57,1.0,162.0,161.0,2.0,10.7,0.0,0.5,0.0,1.0,2.5,0.0,13,6,1,1,11.183333333333334,3.058122205663189
2,2.0,2.01,1.0,170.0,246.0,1.0,16.3,0.0,0.5,0.0,1.0,2.5,0.0,9,2,1,0,17.166666666666668,7.0252427184466
1,1.0,2.8,1.0,237.0,41.0,1.0,13.5,3.5,0.5,0.0,1.0,2.5,0.0,20,0,1,0,10.033333333333333,16.744186046511626
2,1.0,7.59,1.0,68.0,52.0,1.0,37.3,0.0,0.5,0.0,1.0,2.5,0.0,16,5,1,1,34.35,13.25764192139738
1,1.0,4.6,1.0,246.0,263.0,1.0,21.2,2.5,0.5,0.0,1.0,2.5,0.0,12,3,1,0,19.2,14.374999999999998
2,1.0,1.33,1.0,162.0,234.0,1.0,8.6,0.0,0.5,0.0,1.0,2.5,0.0,10,1,1,0,6.566666666666666,12.152284263959391
2,1.0,1.76,1.0,68.0,100.0,2.0,15.6,2.5,0.5,0.0,1.0,2.5,0.0,17,2,1,0,17.083333333333332,6.1814634146341465
2,1.0,0.7,1.0,263.0,236.0,1.0,7.2,1.0,0.5,0.0,1.0,2.5,0.0,21,4,1,0,5.266666666666667,7.974683544303797
2,1.0,0.93,1.0,161.0,164.0,1.0,7.2,0.0,0.5,0.0,1.0,2.5,0.0,9,0,1,0,4.9,11.387755102040815
1,1.0,0.9,1.0,100.0,164.0,1.0,9.3,2.5,0.5,0.0,1.0,2.5,0.0,12,2,1,0,10.166666666666666,5.311475409836066
2,1.0,2.15,1.0,142.0,263.0,2.0,13.5,0.0,0.5,0.0,1.0,2.5,0.0,8,4,1,0,11.766666666666667,10.963172804532576
2,1.0,2.66,1.0,236.0,143.0,1.0,17.7,2.5,0.5,0.0,1.0,2.5,0.0,17,2,1,0,17.7,9.016949152542374
1,2.0,1.5,1.0,141.0,233.0,1.0,14.2,2.5,0.5,0.0,1.0,2.5,0.0,15,2,1,0,15.766666666666667,5.708245243128964
2,1.0,1.99,1.0,142.0,246.0,1.0,12.1,2.5,0.5,0.0,1.0,2.5,0.0,18,2,1,0,10.75,11.106976744186046
2,6.0,3.71,1.0,263.0,100.0,1.0,24.0,0.0,0.5,0.0,1.0,2.5,0.0,8,0,1,0,26.083333333333332,8.534185303514377
2,6.0,1.78,1.0,43.0,239.0,2.0,10.7,1.0,0.5,0.0,1.0,2.5,0.0,22,4,1,0,10.0,10.680000000000001
2,1.0,2.01,1.0,249.0,148.0,1.0,17.7,0.0,0.5,0.0,1.0,2.5,0.0,18,5,1,1,18.95,6.364116094986807
